Name,Genre,Duration,Rating,Vote Count
Moana 2,fantasy,100,6.7,88000
Flow,fantasy,85,7.9,59000
Nosferatu,fantasy,132,7.3,179000
Wicked,fantasy,160,7.5,142000
Sonic the Hedgehog 3,fantasy,110,6.9,53000
Parthenope,fantasy,137,6.6,9100
Mufasa: The Lion King,fantasy,118,6.6,48000
Better Man,fantasy,135,7.6,22000
The Lord of the Rings: The War of the Rohirrim,fantasy,134,6.3,28000
The Life of Chuck,fantasy,110,7.7,461
Megalopolis,fantasy,138,4.7,34000
The Watchers,fantasy,102,5.7,55000
Beetlejuice Beetlejuice,fantasy,105,6.7,143000
Inside Out 2,fantasy,96,7.5,211000
The Crow,fantasy,111,4.7,33000
Red One,fantasy,123,6.3,137000
Transformers One,fantasy,104,7.6,47000
Solo Leveling: ReAwakening,fantasy,121,8.7,7000
Damsel,fantasy,110,6.1,108000
IF,fantasy,104,6.4,57000
Ghostbusters: Frozen Empire,fantasy,115,6.1,92000
Godzilla x Kong: The New Empire,fantasy,115,6.1,119000
Harold and the Purple Crayon,fantasy,90,5.7,7900
Uglies,fantasy,100,4.7,32000
Kung Fu Panda 4,fantasy,94,6.3,67000
The Garfield Movie,fantasy,101,5.7,24000
Kalki 2898 AD,fantasy,180,7.0,66000
Descendants: The Rise of Red,fantasy,91,4.7,6900
Rebel Moon - Part Two: The Scargiver,fantasy,122,5.3,59000
Spellbound,fantasy,109,5.7,6300
Hagen,fantasy,139,6.1,1000
The End,fantasy,148,5.5,1600
Monster Summer,fantasy,97,5.7,3500
The Tearsmith,fantasy,103,5.2,12000
Saving Bikini Bottom: The Sandy Cheeks Movie,fantasy,82,3.7,3700
Girl Haunts Boy,fantasy,100,6.3,2800
Irish Wish,fantasy,93,5.2,21000
Family Pack,fantasy,94,5.5,8700
The Wonderful Story of Henry Sugar and Three More,fantasy,88,7.1,6200
The American Society of Magical Negroes,fantasy,104,3.7,12000
Orion and the Dark,fantasy,93,6.3,17000
Dear Santa,fantasy,107,5.4,18000
The Best Christmas Pageant Ever,fantasy,99,6.8,6000
Bhool Bhulaiyaa 3,fantasy,158,4.7,77000
The Balconettes,fantasy,104,6.3,749
The Sand Castle,fantasy,98,4.7,1600
Justice League: Crisis on Infinite Earths - Part One,fantasy,93,6.2,8300
Pedro Páramo,fantasy,130,6.3,2800
That Christmas,fantasy,91,6.8,17000
Thelma the Unicorn,fantasy,93,5.7,2900
A Dog's Will 2,fantasy,104,6.3,2700
This Is Me... Now,fantasy,65,4.1,7100
Justice League: Crisis on Infinite Earths - Part Three,fantasy,94,6.1,4300
The Tiger's Apprentice,fantasy,84,5.7,2100
The Lost Tiger,fantasy,90,7.9,36
Hot Frosty,fantasy,92,5.3,14000
200% Wolf,fantasy,98,6.0,1300
Demon Slayer: Kimetsu No Yaiba - To the Hashira Training,fantasy,104,7.1,8300
Unspeakable: Beyond the Wall of Sleep,fantasy,90,5.9,38
The Witch: Revenge,fantasy,100,5.3,776
Timestalker,fantasy,89,5.5,2900
Ultraman: Rising,fantasy,117,6.9,6200
Angels Fallen: Warriors of Peace,fantasy,103,4.9,5800
10 Lives,fantasy,88,5.9,1800
Doraemon the Movie: Nobita's Earth Symphony,fantasy,115,6.6,1400
Cinderella's Curse,fantasy,82,3.3,1300
The Thundermans Return,fantasy,70,5.0,1800
Woody Woodpecker Goes to Camp,fantasy,100,4.5,2500
Mars,fantasy,84,8.9,19
Dan Da Dan: First Encounter,fantasy,83,8.2,2600
Justice League: Crisis on Infinite Earths - Part Two,fantasy,94,5.5,5200
Harry Potter and the Stone,fantasy,152,8.0,155
Buffalo Kids,fantasy,93,6.6,640
Hanu Man,fantasy,158,7.7,29000
Woodwalkers,fantasy,103,5.3,354
Dragonkeeper,fantasy,98,5.7,1600
Seven Cemeteries,fantasy,84,4.5,502
Cinderella's Revenge,fantasy,85,3.7,1100
Man and Witch: The Dance of a Thousand Steps,fantasy,94,5.5,327
Kanguva,fantasy,152,4.5,14000
Witch,fantasy,107,5.1,1400
Cells at Work!,fantasy,109,6.8,169
The Slave and the Sorcerer,fantasy,86,6.7,37
Chantal in Fairyland,fantasy,118,4.6,2600
Ghost Cat Anzu,fantasy,97,6.5,704
Dalia y el Libro Rojo,fantasy,107,6.5,52
Overlord: The Sacred Kingdom,fantasy,135,7.0,701
Rebellious,fantasy,94,6.0,161
A.R.M,fantasy,150,7.1,8500
Robin and the Hoods,fantasy,100,4.4,504
The Night Before Christmas in Wonderland,fantasy,80,6.3,509
Tim Travers & the Time Travelers Paradox,fantasy,95,6.9,273
Devil's Knight,fantasy,90,5.4,780
Thangalaan,fantasy,156,6.6,6500
Mononoke the Movie: The Phantom in the Rain,fantasy,89,6.8,1200
School of Magical Animals 3,fantasy,105,5.9,297
A Trip Elsewhere,fantasy,93,5.6,95
Warchief,fantasy,94,2.5,601
Lesbian Space Princess,fantasy,87,8.1,96
Balestra,fantasy,145,5.1,514
The Invisibles,fantasy,111,5.9,453
Super-Charlie,fantasy,80,6.3,104
Ryan's World the Movie: Titan Universe Adventure,fantasy,80,1.8,650
"Love, Danielle",fantasy,79,8.9,38
Sketch,fantasy,92,8.3,42
Alienoid: The Return to the Future,fantasy,122,6.5,2500
My Oni Girl,fantasy,112,6.0,1700
Else,fantasy,100,6.1,223
Snatched a Billionaire to Be My Husband,fantasy,70,7.6,649
Spirit World,fantasy,94,5.7,57
Shrek 5: The Contract - A Fan Made Film,fantasy,84,7.0,18
White Snake: Afloat,fantasy,133,6.9,434
Witch Hunter,fantasy,80,5.5,22
The Keepers of the 5 Kingdoms,fantasy,109,4.1,216
Orang Ikan,fantasy,83,6.5,31
Panda Bear in Africa,fantasy,84,5.5,308
The Goat,fantasy,100,6.0,91
The Yin Yang Master Zero,fantasy,112,5.7,257
Assassin's Guild,fantasy,103,3.7,112
Gaami,fantasy,147,6.4,2000
The Phantom Warrior,fantasy,119,2.4,552
Nonostante,fantasy,93,6.0,71
Once Upon a Christmas Wish,fantasy,90,6.1,314
Seven Seas Seven Hills,fantasy,90,8.6,85
The Opera!,fantasy,106,7.2,46
Barroz: Guardian of Treasures,fantasy,155,3.5,948
Zak & Wowo: The Legend of Lendarys,fantasy,85,5.7,86
Mayan,fantasy,113,8.8,130
The Sisters,fantasy,122,4.7,144
Vertical,fantasy,111,5.2,116
SuperKlaus,fantasy,88,4.3,192
The Woods Are Real,fantasy,80,2.4,458
We Work for the Dead,fantasy,84,6.7,505
Schirkoa: In Lies We Trust,fantasy,103,5.6,153
The Casagrandes Movie,fantasy,89,5.6,652
Heartsping : Teenieping of Love,fantasy,0,6.9,21
Vidente por Acidente,fantasy,93,5.0,72
Big City Greens the Movie: Spacecation,fantasy,0,6.2,531
"Maya, donne-moi un titre",fantasy,61,6.4,47
Dr. Sander's Sleep Cure,fantasy,98,6.3,652
Empire Queen: The Golden Age of Magic,fantasy,148,3.2,204
Spirit Riser,fantasy,98,6.7,33
Elli and the Ghostly Ghost Train,fantasy,86,5.0,89
The Vord,fantasy,101,3.4,64
The Heartsmith,fantasy,95,9.6,42
Fureru,fantasy,107,6.4,23
Nyctophobia,fantasy,90,7.6,1800
Dead Dead Demon's Dededede Destruction,fantasy,120,7.0,137
King Baby,fantasy,88,7.0,23
River of Ghosts,fantasy,102,3.0,301
The Traveller,fantasy,134,5.2,202
Universal Groove,fantasy,74,5.4,169
Intercambiadas,fantasy,97,6.5,50
Hiçbir Sey Normal Degil,fantasy,71,6.4,58
Captain Avispa,fantasy,96,5.8,172
A Song from the Dark,fantasy,105,4.8,2200
The Fisherman,fantasy,105,7.1,41
Last Song for You,fantasy,110,7.3,89
Enchanting Christmas,fantasy,91,6.4,348
Nie Xiaoqian,fantasy,112,6.4,16
Bhairadevi,fantasy,134,8.8,43
Letuchiy korabl,fantasy,100,3.8,290
"Die Heinzels: Neue Mützen, Neue Mission",fantasy,76,6.5,71
Rita,fantasy,107,5.8,264
Dragon Ball Z Kai,fantasy,82,8.4,65
Bodegón con fantasmas,fantasy,88,6.5,147
Dongeng Sang Kancil,fantasy,99,8.3,80
Aalan,fantasy,137,6.3,1100
Joachim and the Apocalypse,fantasy,90,7.2,12
Kajolrekha,fantasy,156,6.3,170
Letters at Christmas,fantasy,84,3.7,168
Penguin Girl,fantasy,98,7.0,8
Baba Yaga spasaet Novyy god,fantasy,99,4.4,113
Fragments of Us,fantasy,49,8.3,8
Videotheque,fantasy,112,6.1,98
Hold Me Close,fantasy,98,6.6,9
Oshi no Ko: The Final Act,fantasy,129,7.7,92
The Time Travel Hills,fantasy,82,5.8,68
Saint Young Men: Holy Men vs Demon Army,fantasy,93,3.0,13
"Don't Cry, Butterfly",fantasy,97,6.4,107
Don Dukun,fantasy,98,7.0,48
Fidil Ghorm,fantasy,86,7.8,7
Carol,fantasy,115,8.3,47
Planet 7693,fantasy,110,7.6,66
All In,fantasy,103,5.6,84
The Sleeping Woman,fantasy,110,5.2,547
The Evil Fairy Queen,fantasy,90,5.6,45
UmroAyyar - A New Beginning,fantasy,135,6.9,668
Hanami,fantasy,96,6.8,97
Niko: Beyond the Northern Lights,fantasy,86,6.3,302
Naag Bhoomi,fantasy,130,5.7,7
The Epidemic,fantasy,95,5.8,69
Princesa Adormecida,fantasy,80,3.8,152
River Returns,fantasy,109,6.8,12
The Seductress from Hell,fantasy,102,7.0,16
Sunce nikad vise,fantasy,72,7.5,20
The Proud Princess,fantasy,84,7.1,99
Wonderful Precure! The Movie! Doki Doki Game no Sekai de Daiboken,fantasy,71,7.2,27
Pechi,fantasy,110,5.5,1500
Vampire Genesis,fantasy,105,4.4,36
Traces of Love,fantasy,105,6.5,901
The Secret of Pin-Up Island,fantasy,107,7.4,92
My Future You,fantasy,109,8.5,45
Un cuento de pescadores,fantasy,103,7.2,36
Fuuto PI: Portrait of Kamen Rider Skull,fantasy,82,7.5,30
Advent,fantasy,119,7.5,6
Una ballena,fantasy,108,6.0,48
Sureshinteyum Sumalathayudeyum Hridayahariyaya Pranayakatha,fantasy,138,5.9,83
Ognivo,fantasy,105,5.4,213
Si Juki the Movie: Harta Pulau Monyet,fantasy,107,6.0,114
Into the Mortal World,fantasy,118,6.8,138
Mephisto,fantasy,108,5.4,61
Princess Halle and the Jester,fantasy,71,4.7,59
Askepote,fantasy,72,3.5,80
Domovyonok Kuzya,fantasy,90,6.5,802
Les tempêtes,fantasy,84,5.7,21
Blue Christmas,fantasy,79,5.8,20
Spin the Wheel,fantasy,102,6.0,87
Ebenezer: The Traveler,fantasy,102,3.5,144
The Jester from Transylvania,fantasy,102,4.8,37
The Worlds Divide,fantasy,120,8.0,36
JAPA,fantasy,110,7.5,15
Two Breaths,fantasy,18,8.1,21
Wonderland,fantasy,120,6.8,12
Nueva Tierra,fantasy,123,7.6,30
Maxxie LaWow: Drag Super-shero,fantasy,114,8.9,54
White Cobra Diamond Fox vs the Golden Eye,fantasy,90,5.2,24
Cedric & Alysia,fantasy,84,5.1,51
Malaikottai Vaaliban,fantasy,156,6.0,4100
Snake Skin Beauty,fantasy,83,4.1,19
Yao Shen Ling,fantasy,93,6.7,66
The Gesuidouz,fantasy,93,6.9,52
Fights Break Sphere 3,fantasy,81,4.7,8
Double Tuckerr,fantasy,120,5.0,1200
Mother Maker Lover Taker,fantasy,99,6.1,32
Respati,fantasy,112,5.8,278
The Beads,fantasy,100,6.3,11
The Ballad of Hortensia,fantasy,94,6.7,125
Turma da Mônica Jovem: Reflexos do Medo,fantasy,88,2.8,256
