Name,Genre,Duration,Rating,Vote Count
Emilia Pérez,Crime,132,5.4,84000
Trap,Crime,105,5.8,130000
Longlegs,Crime,101,6.6,179000
Pushpa: The Rule - Part 2,Crime,201,6.1,54000
The Order,Crime,116,6.8,38000
Juror #2,Crime,114,7.0,92000
Despicable Me 4,Crime,94,6.2,63000
Riff Raff,Crime,103,6.3,832
MaXXXine,Crime,103,6.3,68000
The Beekeeper,Crime,105,6.3,153000
Carry-On,Crime,119,6.5,160000
Marco,Crime,145,6.9,20000
Rebel Ridge,Crime,131,6.8,86000
Wolfs,Crime,108,6.5,79000
The Crow,Crime,111,4.7,33000
The Seed of the Sacred Fig,Crime,167,7.6,12000
Bad Boys: Ride or Die,Crime,115,6.5,98000
Love Lies Bleeding,Crime,104,6.6,56000
Lucky Baskhar,Crime,148,8.0,30000
Monkey Man,Crime,121,6.8,90000
Freaky Tales,Crime,106,6.4,371
Greedy People,Crime,112,6.2,11000
Jönssonligan kommer tillbaka,Crime,104,6.0,1000
Absolution,Crime,112,5.2,7400
Sleeping Dogs,Crime,110,6.2,21000
The Instigators,Crime,101,6.2,37000
Lift,Crime,107,5.5,49000
Beverly Hills Cop: Axel F,Crime,118,6.4,80000
Hitpig,Crime,86,5.0,836
The Silent Hour,Crime,99,6.1,7000
Maharaja,Crime,141,8.4,65000
Beating Hearts,Crime,166,7.0,4100
Misericordia,Crime,104,6.9,1600
Brothers,Crime,89,5.4,13000
Killer Heat,Crime,95,5.6,13000
Long Gone Heroes,Crime,101,5.2,973
Force of Nature: The Dry 2,Crime,120,5.9,6700
The Shadow Strays,Crime,144,6.5,8900
Armor,Crime,89,3.5,3600
Trigger Warning,Crime,106,4.6,19000
Blackwater Lane,Crime,108,4.6,1800
Twilight of the Warriors: Walled In,Crime,126,7.0,8900
Boneyard,Crime,96,4.1,4800
The Thicket,Crime,108,5.8,2900
The Calendar Killer,Crime,97,5.4,3900
Santosh,Crime,128,7.0,1400
The Unholy Trinity,Crime,93,7.9,49
Inside,Crime,104,7.0,216
Mea Culpa,Crime,120,4.2,7000
Megamind vs. The Doom Syndicate,Crime,83,2.5,5500
Dead Sea,Crime,88,5.3,5200
Sector 36,Crime,123,7.1,25000
Damaged,Crime,97,4.7,7100
Colors of Evil: Red,Crime,111,6.4,8300
Trouble,Crime,98,6.2,6600
Faultline,Crime,92,5.9,72
"I, the Executioner",Crime,118,6.3,1600
Code 8: Part II,Crime,100,5.7,16000
Depravity,Crime,117,4.3,921
Bogota: City of the Lost,Crime,108,5.4,1800
City Hunter,Crime,102,6.3,5500
Drugstore June,Crime,91,5.3,1700
Maharaj,Crime,131,6.5,15000
Lake George,Crime,118,6.3,851
Duchess,Crime,114,4.6,1200
Harbin,Crime,108,6.5,489
Do Patti,Crime,126,6.4,68000
Detained,Crime,97,4.9,1500
Badland Hunters,Crime,107,5.9,12000
The Courier,Crime,101,6.0,4300
The Soul Eater,Crime,108,5.9,2500
Sikandar Ka Muqaddar,Crime,142,6.0,24000
Broken Rage,Crime,62,6.1,1200
The Roundup: Punishment,Crime,109,6.6,5100
Here Now,Crime,118,4.9,314
Marmalade,Crime,99,6.2,3500
Raayan,Crime,145,6.5,11000
What Jennifer Did,Crime,87,6.1,11000
First Shift,Crime,89,4.4,2000
El Jockey,Crime,96,6.5,1600
Lover Stalker Killer,Crime,90,7.0,13000
Barron's Cove,Crime,116,8.0,28
Ride,Crime,114,5.9,375
Golam,Crime,120,7.2,5500
Laws of Man,Crime,98,4.1,324
Officer Black Belt,Crime,108,6.8,8000
Strictly Confidential,Crime,94,2.8,832
The Quiet Ones,Crime,110,6.5,525
Darkness of Man,Crime,109,4.8,3100
Rats!,Crime,85,8.0,78
Justice,Crime,113,6.3,3800
Cult Killer,Crime,105,4.8,2700
In Her Place,Crime,96,6.2,1400
Bougainvillea,Crime,138,6.4,3000
A Place Called Silence,Crime,119,6.5,1200
Papa,Crime,131,7.5,301
The Trainer,Crime,95,7.2,52
Pani,Crime,143,6.9,2800
The Thundermans Return,Crime,70,5.0,1800
Cookster: The Darkest Days,Crime,119,8.4,37
Crescent City,Crime,103,3.9,1300
Boundless,Crime,121,5.6,1800
5lbs of Pressure,Crime,111,5.3,1600
Freedom,Crime,110,5.9,1300
Guns & Moses,Crime,94,8.2,38
Sicilian Letters,Crime,122,6.1,585
The Smile Man,Crime,122,7.6,1500
Ferry 2,Crime,94,5.6,3700
King Ivory,Crime,130,7.2,62
The Park Maniac,Crime,103,4.8,1500
Wanted Man,Crime,85,4.8,2500
To a Land Unknown,Crime,105,7.3,440
Hijack 1971,Crime,100,6.8,3200
Thalavan,Crime,131,7.2,4500
Shoutai,Crime,120,6.9,480
Bloodline Killer,Crime,105,3.8,4400
Bhakshak,Crime,134,7.2,7100
Saripodhaa Sanivaaram,Crime,166,7.0,8900
The Clean Up Crew,Crime,95,4.1,1100
The Sabarmati Report,Crime,127,6.4,24000
Viduthalai Part 2,Crime,170,8.0,16000
Revolver,Crime,114,5.4,819
Two to One,Crime,116,6.0,696
Savi,Crime,126,6.2,35000
Ulajh,Crime,150,6.0,24000
Operation Raavan,Crime,147,8.3,1200
Anweshippin Kandethum,Crime,142,7.4,10000
Biggest Heist Ever,Crime,85,6.1,1400
Dead Wrong,Crime,104,3.8,255
The Lockdown,Crime,117,4.3,597
Vettaiyan,Crime,163,7.0,39000
Nice Girls,Crime,92,4.2,1200
Roadkill,Crime,90,3.6,672
The Kingdom,Crime,108,7.0,639
GTMax,Crime,100,5.0,1200
Dead Mail,Crime,106,6.7,279
Strangers,Crime,106,4.3,377
Maldoror,Crime,155,7.1,534
Serpent's Path,Crime,112,5.8,274
Mission: Cross,Crime,105,6.1,2500
Belle,Crime,100,5.9,29
How to Rob a Bank,Crime,88,6.6,4100
Jailbreak: Love on the Run,Crime,88,6.4,3100
Toofan,Crime,145,7.1,6100
The Birds Who Fear Death,Crime,102,9.4,69
Kingsmen,Crime,72,6.3,46
Anand Sreebala,Crime,134,6.6,2300
Untamed Royals,Crime,99,4.6,622
High Forces,Crime,119,5.8,504
Last Known Location,Crime,110,6.3,1300
Bermondsey Tales: Fall of the Roman Empire,Crime,99,4.4,174
They Called Him Mostly Harmless,Crime,89,5.9,3200
The Seven Sorrows of Mary,Crime,98,6.7,22
In Youth We Trust,Crime,132,7.6,91
Phir Aayi Hasseen Dillruba,Crime,132,5.8,6700
Hellhound,Crime,103,4.3,489
A Gangster's Kiss,Crime,81,4.9,45
Auron Mein Kahan Dum Tha,Crime,150,6.6,40000
The Shameless,Crime,114,5.6,195
Borderless Fog,Crime,110,5.2,1300
The Girl Who Wore Yellow Lace,Crime,82,4.8,13
Scorched Earth,Crime,101,6.7,508
Dhakshina,Crime,107,6.5,5200
Abraham Ozler,Crime,143,6.5,4100
Visfot,Crime,130,5.7,1100
She's Got No Name,Crime,150,7.0,45
Fyre Rises,Crime,110,6.5,321
Mr. Bachchan,Crime,150,3.6,5300
Peg O' My Heart,Crime,97,5.8,51
Crisis Negotiators,Crime,120,6.7,692
The Truth vs. Alex Jones,Crime,121,7.5,3000
Diddy: Summit to Plummet,Crime,60,2.2,200
Rakshana,Crime,139,5.6,1100
